REGION,COUNTRY,Popn_2010,Inc_group_2010,M_Group,P_Group,O_Group,W_Group,W_MM_Group,E_Group,R_Group,NTCP_Group,Survey_title,Survey_year,Survey_national,Survey_age_grp,Smk_1_def,Smk_1_tob_use_M,Smk_1_tob_use_F,Smk_1_tob_use_B,Smk_2_def,Smk_2_tob_use_M,Smk_2_tob_use_F,Smk_2_tob_use_B,Smkless_def,Smkless_tob_use_M,Smkless_tob_use_F,Smkless_tob_use_B,Tobacco_M_Current,Tobacco_M_Daily,Tobacco_F_Current,Tobacco_F_Daily,Cigarettes_M_Current,Cigarettes_M_Daily,Cigarettes_F_Current,Cigarettes_F_Daily,Tobacco_B_Current,Tobacco_B_Daily,Cigarettes_B_Current,Cigarettes_B_Daily,P1,P2,P3,P4,P5,P6,P7,P8,P9,C2,P17,P11,P12,P13,P14,P15,P10,P16,O1,O2,O3,O6,O7,O9,O10,O12,O13,O14,O15,O16,W1A,W2A,W3A,W4A,W15A,W16A,W11A,W14A,W6A,W7A,W8A,W10A,W5A,W13A,W12A,W9A,W17A,W18A,W19A,W20A,W21A,W25A,W26A,W1C,W2C,W3C,W4C,W15C,W16C,W11C,W14C,W6C,W7C,W8C,W10C,W5C,W13C,W12C,W9C,W17C,W18C,W19C,W20C,W21C,W25C,W26C,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,E1,E2,E3,E4,E5,E6,E7,C3,E17,E9,E10,E11,E12,E13,E14,E15,C4,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,N1,N2,N3,N4,N5,N6,P1_N,P2_N,P3_N,P4_N,P5_N,P6_N,P7_N,P8_N,P9_N,C2_N,P17_N,P11_N,P12_N,P13_N,P14_N,P15_N,P10_N,P16_N,O3_N,W1A_N,W2A_N,W3A_N,W4A_N,W15A_N,W16A_N,W11A_N,W14A_N,W6A_N,W7A_N,W8A_N,W10A_N,W5A_N,W13A_N,W12A_N,W9A_N,W17A_N,W18A_N,W19A_N,W20A_N,W21A_N,W25A_N,W26A_N,W1C_N,W2C_N,W3C_N,W4C_N,W15C_N,W16C_N,W11C_N,W14C_N,W6C_N,W7C_N,W8C_N,W10C_N,W5C_N,W13C_N,W12C_N,W9C_N,W17C_N,W18C_N,W19C_N,W20C_N,W21C_N,W25C_N,W26C_N,MM_N,E1_N,E2_N,E3_N,E4_N,E5_N,E6_N,E7_N,C3_N,E17_N,E9_N,E10_N,E11_N,E12_N,E13_N,E14_N,E15_N,C4_N,R_N
SEAR,Democratic People's Republic of Korea,23990703,Low,1,2,4,2,999,2,1,4,Smoking Survey among Male Population in DPRK,2002,Subnational,16+,Current tobacco smoking,52.3,988,988,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,No,No,No,No,No,No,No,NA,NA,0,No,NA,NA,No,No,NR,NR,No,No,NA,NR,NR,NR,NR,Yes in most,Yes in most,Yes in most,Yes in most,Yes in most,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,20,KPW,0.06,0.14,988,988,988,988,988,988,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,8,NR,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Democratic Republic of the Congo,67827495,Low,1,3,3,3,999,3,3,4,"Enquête sur les facteurs de risque des maladies non transmissibles à Kinshasa, capitale de la RD Congo, Selon l'approche STEPS de l'OMS",2005,Subnational,15+,Daily tobacco smoking,10.2,0.6,4.4,Current tobacco smoking,14.2,1.2,6.4,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,No,No,No,No,Yes,NA,1,4,Yes,No,Yes,No,No,NR,NR,No,Yes,In a pharmacy without a prescription,Yes,In a pharmacy without a prescription,Yes,In a pharmacy without a prescription,No,No,Yes in some,No,No,Yes,30,30,30,Yes,4,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,Yes,No,Yes,No,No,No,No,10,No,No,No,No,No,No,NR,No,999,600,CDF,1.89,0.94,15%,14%,0%,29%,29%,0%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,34,NR,CDF,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Denmark,5481283,High,4,2,4,3,999,4,4,3,Monitorering af danskernes rygevaner,2008,National,15+,Daily tobacco smoking,24,22,23,Occasional tobacco smoking,5,5,5,Users of smokeless tobacco,1.9,0.5,1.2,988,988,988,988,988,988,988,988,988,988,988,988,No,No,No,No,No,No,No,No,NA,NA,0,Yes,Yes,No,No,No,NR,NR,Yes,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes in some,Yes in some,Yes in some,Yes in most,NR,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,15,30,0,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,Yes,No,Yes,No,Yes,No,No,988,No,Yes,Yes,Yes,Yes,No,No,Yes,988,32,DKK,3.78,6.05,40%,14%,0%,73%,53%,20%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,988,21500000.00,DKK,3588680.47,NA,NA,NA,NA,NA,NA,NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMR,Djibouti,879053,Middle,3,4,3,5,999,5,3,3,Enquête Djiboutienne à indicatuers multiples,2007,National,15+,Daily tobacco smoking,41.1,9.2,25.4,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,3,6,Yes,Yes,Yes,No,No,NR,NR,No,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,No,No,No,No,No,Yes,50,50,50,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,50,50,50,No,999,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,180,DJF,1.94,1.01,0%,29%,0%,29%,29%,0%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,1,520000.00,DJF,2925.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,Dominica,66515,Middle,2,2,3,2,999,2,3,3,Dominica STEPS Survey,2007,National,15 - 64,Daily tobacco smoking,9.7,0.9,5.5,Current tobacco smoking,12.2,3.2,10.2,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,No,No,No,No,No,No,No,NA,NA,0,No,NA,NA,No,No,NR,NR,No,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes in most,Yes in most,No,No,NR,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,3.5,XCD,2.63,1.3,13%,0%,0%,26%,13%,13%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,No,Yes,3,NR,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,Dominican Republic,10225482,Middle,3,2,3,2,999,2,4,2,"World Health Survey, Dominican Republic",2003,National,18+,Daily tobacco smoking,15.3,10.8,13.1,Current tobacco smoking,17.2,12.5,14.9,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,Yes,Yes,No,No,No,No,No,NA,2,2,Yes,Yes,No,No,No,NR,NR,No,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,No,No,Yes in most,No,No,Yes,966,966,966,Yes,1,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,966,966,966,Yes,1,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,No,No,No,No,No,No,No,999,No,No,No,No,No,No,NR,No,999,100,DOP,4.87,2.82,26%,17%,0%,57%,43%,14%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,No,No,999,NR,DOP,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,Ecuador,13774909,Middle,2,3,4,3,999,2,4,3,"World Health Survey, Ecuador",2003,National,18+,Daily tobacco smoking,6.1,1.3,3.7,Current tobacco smoking,26.3,6.6,16.5,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,5,5,Yes,No,Yes,No,No,NR,NR,No,No,NA,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes in some,Yes in some,Yes in some,No,NR,Yes,40,40,40,Yes,3,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,40,40,40,Yes,3,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,1.7,USD,3.39,1.7,0%,54%,0%,64%,54%,11%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,2,200000.00,USD,200000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMR,Egypt,84474427,Middle,3,4,4,5,999,4,4,3,National Survey on Cigarettes and Waterpipe Smoking in Egypt,2005,National,12+,Daily tobacco smoking,22.9,0.3,. . .,Current tobacco smoking,29.5,0.4,. . .,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,Yes,Yes,No,No,Yes,NA,3,6,Yes,Yes,Yes,No,No,NR,NR,No,Yes,In a pharmacy without a prescription,No,NA,No,NA,Yes in some,Yes in some,No,No,No,Yes,50,50,50,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,50,50,50,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,Yes,No,Yes,No,Yes,Yes,Yes,10,No,Yes,Yes,Yes,No,Yes,NR,Yes,10,2.75,EGP,1.36,0.49,59%,0%,0%,59%,59%,0%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,3,30000.00,USD,30000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,El Salvador,6194126,Middle,3,3,4,2,999,2,3,3,"1er Estudio Nacional sobre Consumo de Drogas en Población General, El Salvador",2005,National,12 - 64,Current tobacco use,21.5,3.4,11.7,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,No,No,Yes,No,No,No,Yes,NA,4,3,No,NA,NA,No,No,NR,NR,No,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes in some,Yes in some,Yes in some,Yes in some,No,Yes,966,966,966,Yes,1,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,966,966,966,No,999,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,1.4,USD,2.79,1.4,7%,23%,0%,41%,30%,12%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,988,NR,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Equatorial Guinea,693385,High,2,3,2,2,999,2,3,2,NR,2999,NA,NA,NA,999,999,999,NA,999,999,999,NA,999,999,999,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,No,No,No,No,No,NA,2,3,No,NA,NA,No,Yes,NR,NR,No,No,NA,No,NA,No,NA,NR,NR,NR,No,No,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,No,No,No,No,No,No,No,999,No,No,No,No,Yes,No,NR,No,3,1000,XOF,2.7,2.12,0%,19%,0%,35%,19%,16%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,No,No,999,NR,NA,NR,z,z,z,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Eritrea,5223994,Low,3,2,2,4,999,5,4,3,National Noncommunicable Disease Risk Factor Baseline Survey using WHO STEPwise Approach,2004,National,15 - 64,Daily tobacco smoking,988,988,7.2,Current tobacco smoking,988,988,8,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,No,No,No,No,No,No,No,NA,NA,0,Yes,Yes,Yes,No,No,NR,NR,No,No,NA,No,NA,No,NA,No,No,No,No,No,Yes,50,50,50,Yes,5,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,50,50,50,Yes,5,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,Yes,Yes,Yes,Yes,Yes,No,Yes,5,25,ERN,3.95,1.63,0%,45%,0%,55%,45%,11%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,2,NR,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Estonia,1339459,High,4,2,3,3,999,4,5,3,Health Behaviour among Estonian Adult Population ,2008,National,15+,Daily tobacco smoking,38.6,17.1,26.2,Current tobacco smoking,46,25.3,34.1,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,Yes,No,No,No,No,No,No,NA,8,1,Yes,Yes,Yes,Yes,Yes,NR,NR,Yes,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes in some,Yes in some,Yes in some,No,No,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,30,966,966,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,,,,,,,,,Yes,No,Yes,No,Yes,No,No,8,No,Yes,Yes,No,No,No,No,No,6,32.18,EEK,3.49,2.9,31%,31%,0%,77%,62%,15%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,988,700000.00,EKK,55574.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Ethiopia,84975606,Low,2,2,2,2,999,4,4,3,"World Health Survey, Ethiopia",2003,National,18+,Daily tobacco smoking,5.3,0.4,2.8,Current tobacco smoking,6.3,0.5,3.3,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,No,No,No,No,No,No,No,NA,NA,0,No,NA,NA,No,No,NR,NR,No,No,NA,No,NA,No,NA,No,No,No,No,No,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No,988,No,No,No,No,No,Yes,NR,Yes,988,4.35,ETB,1.24,0.44,0%,43%,0%,55%,43%,12%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,No,Yes,4,NR,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,z,z,NA,z,z,NA,NA,NA,NA,NA,NA,NA,z,NA,z,NA,NA
WPR,Fiji,854098,Middle,2,2,2,2,999,4,5,4,Fiji Noncommunicable Diseases STEPS Survey,2002,National,15 - 85,Daily tobacco smoking,26,3.9,988,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,No,No,No,No,No,No,No,NA,5,1,Yes,Yes,Yes,No,No,NR,NR,No,No,NA,No,NA,No,NA,No,No,No,No,NR,Yes,20,966,966,No,999,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,20,966,966,No,999,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,,,Yes,No,Yes,No,Yes,No,No,6,Yes,Yes,Yes,Yes,Yes,No,No,No,5,2.3,FJD,1.58,1.3,77%,0%,0%,77%,77%,0%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,13,160000.00,FJD,100373.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Finland,5345826,High,4,1,4,3,999,4,5,3,Health Behaviour and Health among the Finnish Population,2007,National,15—64,Daily tobacco smoking,25.8,16.6,20.6,Occasional tobacco smoking,7.5,5.9,6.6,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,No,No,No,No, * ,No,No,NA,NA,0,Yes,Yes,Yes,Yes,Yes,NR,NR,Yes,Yes,In a general store without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes in most,Yes in most,Yes in some,Yes in some,NR,Yes,39,32,45,Yes,16,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,16,32,0,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,Yes,No,Yes,No,Yes,Yes,Yes,10,No,Yes,Yes,Yes,No,Yes,No,Yes,10,4.4,EUR,4.59,6.12,7%,52%,0%,77%,59%,18%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,988,650000.00,EUR,952136.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,France,62636580,High,4,1,5,3,999,4,5,3,Baromètre santé: premiers résultats,2005,National,12 - 75,Daily tobacco smoking,28.2,21.7,25,Current tobacco smoking,33.3,26.5,29.9,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes, * , * , * , * ,Yes, * ,NR,4,Yes,Yes,Yes,No,No,NR,NR,Yes,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes in some,Yes in most,Yes in some,NR,NR,Yes,35,30,40,Yes,14,Yes,Yes,Yes,Yes,Yes,No,NR,NR,NR,NR,Yes,Yes,Yes,NR,No,NR,NR,Yes,966,966,966,NR,988,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,Yes,Yes,NR,No,NR,NR,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,988,No,Yes,Yes,Yes,Yes,Yes,No,Yes,988,5.3,EUR,5.8,7.38,6%,58%,0%,80%,64%,16%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,988,29988306.00,EUR,37235670.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
