REGION,COUNTRY,Popn_2010,Inc_group_2010,M_Group,P_Group,O_Group,W_Group,W_MM_Group,E_Group,R_Group,NTCP_Group,Survey_title,Survey_year,Survey_national,Survey_age_grp,Smk_1_def,Smk_1_tob_use_M,Smk_1_tob_use_F,Smk_1_tob_use_B,Smk_2_def,Smk_2_tob_use_M,Smk_2_tob_use_F,Smk_2_tob_use_B,Smkless_def,Smkless_tob_use_M,Smkless_tob_use_F,Smkless_tob_use_B,Tobacco_M_Current,Tobacco_M_Daily,Tobacco_F_Current,Tobacco_F_Daily,Cigarettes_M_Current,Cigarettes_M_Daily,Cigarettes_F_Current,Cigarettes_F_Daily,Tobacco_B_Current,Tobacco_B_Daily,Cigarettes_B_Current,Cigarettes_B_Daily,P1,P2,P3,P4,P5,P6,P7,P8,P9,C2,P17,P11,P12,P13,P14,P15,P10,P16,O1,O2,O3,O6,O7,O9,O10,O12,O13,O14,O15,O16,W1A,W2A,W3A,W4A,W15A,W16A,W11A,W14A,W6A,W7A,W8A,W10A,W5A,W13A,W12A,W9A,W17A,W18A,W19A,W20A,W21A,W25A,W26A,W1C,W2C,W3C,W4C,W15C,W16C,W11C,W14C,W6C,W7C,W8C,W10C,W5C,W13C,W12C,W9C,W17C,W18C,W19C,W20C,W21C,W25C,W26C,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,E1,E2,E3,E4,E5,E6,E7,C3,E17,E9,E10,E11,E12,E13,E14,E15,C4,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,N1,N2,N3,N4,N5,N6,P1_N,P2_N,P3_N,P4_N,P5_N,P6_N,P7_N,P8_N,P9_N,C2_N,P17_N,P11_N,P12_N,P13_N,P14_N,P15_N,P10_N,P16_N,O3_N,W1A_N,W2A_N,W3A_N,W4A_N,W15A_N,W16A_N,W11A_N,W14A_N,W6A_N,W7A_N,W8A_N,W10A_N,W5A_N,W13A_N,W12A_N,W9A_N,W17A_N,W18A_N,W19A_N,W20A_N,W21A_N,W25A_N,W26A_N,W1C_N,W2C_N,W3C_N,W4C_N,W15C_N,W16C_N,W11C_N,W14C_N,W6C_N,W7C_N,W8C_N,W10C_N,W5C_N,W13C_N,W12C_N,W9C_N,W17C_N,W18C_N,W19C_N,W20C_N,W21C_N,W25C_N,W26C_N,MM_N,E1_N,E2_N,E3_N,E4_N,E5_N,E6_N,E7_N,C3_N,E17_N,E9_N,E10_N,E11_N,E12_N,E13_N,E14_N,E15_N,C4_N,R_N
EUR,Denmark,5481283,High,4,2,4,3,5,4,4,3,Monitorering af danskernes rygevaner,2010,National,15+,Daily tobacco smoking,22,21,21,Current tobacco smoking,28,26,26,Current users of smokeless tobacco,3,1,2,30,22,28,21,30,22,28,21,29,21,29,21,No,No,No,No,No,No,No,No,NA,999,0,Yes,Yes,No,No,No,No,NA,Yes,Yes,Pharmacy,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes in some,Yes in some,Yes in some,Yes in most,NR,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,15,30,0,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,10,No,Yes,Yes,Yes,Yes,No,No,Yes,8,37.00,DKK,4.32,6.47,34%,21%,0%,75%,55%,20%,4.32,3.16,NA,NA,NA,NA,999,999,999,999,Yes,Yes,Yes,988,21500000.00,DKK,3588680.47,NA,NA,NA,NA,NA,NA,NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,af,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMR,Djibouti,879053,Middle,4,4,3,5,2,5,3,3,Enquête Djiboutienne à indicatuers multiples,2007,National,15+,Daily tobacco smoking,41.1,9.2,25.4,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,988,6,Yes,Yes,Yes,No,No,No,NA,No,Yes,Pharmacy,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,No,No,No,No,No,Yes,50,50,50,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,50,50,50,No,999,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,988,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,988,200.00,DJF,2.08,1.13,0%,31%,0%,31%,31%,0%,2.08,1.56,NA,NA,NA,NA,999,999,999,999,No,Yes,Yes,1,520000.00,DJF,2925.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,Dominica,66515,Middle,3,2,3,2,1,2,3,3,Dominica STEPS Survey,2007,National,15 - 64,Daily tobacco smoking,9.7,0.9,5.5,Current tobacco smoking,12.2,3.2,10.2,NR,988,988,988,11,7,4,3,10,7,3,3,7,5,7,5,No,No,No,No,No,No,No,No,NA,999,0,No,NA,NA,No,No,No,NA,No,Yes,Pharmacy,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes in most,Yes in most,No,No,NR,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,999,999,999,No,999,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NR,NR,NR,NR,NR,NR,NR,NR,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,3.50,XCD,2.63,1.30,13%,0%,0%,26%,13%,13%,2.63,2.63,NA,NA,NA,NA,999,999,999,999,No,No,Yes,3,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,Dominican Republic,10225482,Middle,1,2,3,2,2,2,4,2,"World Health Survey, Dominican Republic",2003,National,18+,Daily tobacco smoking,15.3,10.8,13.1,Current tobacco smoking,17.2,12.5,14.9,NR,988,988,988,17,14,13,11,16,12,11,9,15,13,13,11,No,Yes,Yes,No,No,No,No,No,NA,8,2,Yes,Yes,No,No,No,No,NA,No,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,No,No,Yes in most,No,No,Yes,966,966,966,Yes,1,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,966,966,966,Yes,1,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,120.00,DOP,5.44,3.24,26%,17%,0%,57%,43%,14%,5.44,4.53,NA,NA,NA,NA,999,999,999,999,Yes,No,No,999,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,Ecuador,13774909,Middle,2,3,4,3,2,2,4,3,Estimación del Consumo Anual de cigarrillos,2010,National,18+,Current cigarette smoking,36.3,8.2,22.7,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,5,5,Yes,No,Yes,No,No,No,NA,No,No,NA,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes in some,Yes in some,Yes in some,No,NR,Yes,40,40,40,Yes,3,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,40,40,40,Yes,3,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,1.70,USD,NR,1.70,0%,54%,0%,64%,54%,11%,NR,NR,NA,NA,NA,NA,999,999,999,999,No,Yes,Yes,2,100000.00,USD,100000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMR,Egypt,84474427,Middle,3,4,4,5,5,4,4,3,Global Adult Tobacco Survey,2009,National,15+,Daily tobacco smoking,35.9,0.5,18.5,Current tobacco smoking,37.6,0.5,19.4,Current users of smokeless tobacco,4.8,0.3,2.6,40,38,977,977,33,32,977,977,20,19,17,16,Yes,Yes,Yes,Yes,Yes,No,No,Yes,NA,2,6,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Pharmacy,No,NA,No,NA,Yes in some,Yes in some,No,No,No,Yes,50,50,50,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,50,50,50,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,8,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,7,4.00,EGP,1.66,0.70,34%,40%,0%,74%,74%,0%,1.66,1.66,NA,NA,NA,NA,999,999,999,999,Yes,Yes,Yes,3,30000.00,USD,30000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,El Salvador,6194126,Middle,3,3,4,2,4,2,4,3,"1er Estudio Nacional sobre Consumo de Drogas en Población General, El Salvador",2005,National,12 - 64,Current tobacco use,21.5,3.4,11.7,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,No,No,Yes,No,No,No,Yes,NA,1,3,No,NA,NA,No,No,No,NA,No,Yes,Pharmacy,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes in some,Yes in some,Yes in some,Yes in some,No,Yes,966,966,966,Yes,1,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,966,966,966,No,999,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,1.75,USD,3.51,1.75,26%,18%,0%,55%,43%,12%,3.51,1.4,NA,NA,NA,NA,999,999,999,999,Yes,Yes,Yes,988,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Equatorial Guinea,693385,High,2,3,2,2,2,2,1,2,NR,2999,NA,NA,NA,999,999,999,NA,999,999,999,NA,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,Yes,Yes,Yes,No,No,No,No,No,NA,988,3,No,NA,NA,No,Yes,Yes,No,No,No,NA,No,NA,No,NA,NR,NR,NR,No,No,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,No,No,No,No,No,NR,NR,NR,NR,NR,NR,No,999,999,999,No,999,No,No,No,No,No,No,No,No,No,No,No,NR,NR,NR,NR,NR,NR,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,999,No,No,No,No,Yes,No,NR,No,988,NR,NR,NR,NR,988,988,988,988,988,988,NR,NR,NA,NA,NA,NA,999,999,999,999,No,No,No,999,NR,NR,NR,z,z,z,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,z,z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Eritrea,5223994,Low,2,2,2,4,4,5,4,3,National Noncommunicable Disease Risk Factor Baseline Survey using WHO STEPwise Approach,2004,National,15 - 64,Daily tobacco smoking,988,988,7.2,Current tobacco smoking,988,988,8,NR,988,988,988,10,8,2,1,9,6,977,977,6,5,5,3,No,No,No,No,No,No,No,No,NA,999,0,Yes,Yes,Yes,No,No,No,NA,No,No,NA,No,NA,No,NA,No,No,No,No,No,Yes,50,50,50,Yes,5,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,50,50,50,Yes,5,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,No,Yes,Yes,Yes,Yes,Yes,No,Yes,6,60.00,ERN,6.23,3.90,0%,45%,0%,55%,45%,11%,6.23,4.16,NA,NA,NA,NA,999,999,999,999,No,Yes,Yes,2,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Estonia,1339459,High,4,2,3,3,1,4,5,3,Health Behaviour among Estonian Adult Population ,2008,National,15+,Daily tobacco smoking,38.6,17.1,26.2,Current tobacco smoking,46,25.3,34.1,NR,988,988,988,46,37,23,16,46,37,23,16,34,27,34,27,No,Yes,No,No,No,No,No,No,NA,6,1,Yes,Yes,Yes,Yes,Yes,No,NA,Yes,Yes,Pharmacy,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes in some,Yes in some,Yes in some,No,No,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,30,966,966,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,NR,NR,NR,NR,NR,NR,NR,NR,Yes,No,Yes,No,Yes,No,No,988,No,Yes,Yes,No,No,No,No,No,6,31.91,EEK,3.53,2.66,33%,33%,0%,83%,66%,17%,3.53,3.2,NA,NA,NA,NA,999,999,999,999,Yes,Yes,Yes,988,700000.00,EKK,55574.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Ethiopia,84975606,Low,1,2,4,2,2,4,4,3,"World Health Survey, Ethiopia",2003,National,18+,Daily tobacco smoking,5.3,0.4,2.8,Current tobacco smoking,6.3,0.5,3.3,NR,988,988,988,8,5,977,977,8,5,977,977,4,3,4,3,No,No,No,No,No,No,No,No,NA,999,0,No,NA,NA,No,No,No,NA,No,Yes,NA,No,NA,No,NA,No,No,No,No,No,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,999,999,999,No,999,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,Yes,Yes,No,988,No,No,No,No,No,Yes,NR,Yes,988,7.00,ETB,1.51,0.55,0%,43%,0%,55%,43%,12%,1.51,1.51,NA,NA,NA,NA,999,999,999,999,No,No,Yes,4,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,z,z,NA,z,z,NA,NA,NA,NA,NA,NA,NA,z,NA,z,NA,NA
WPR,Fiji,854098,Middle,2,2,2,2,2,4,1,4,Fiji Noncommunicable Diseases STEPS Survey,2002,National,15 - 85,Daily tobacco smoking,26,3.9,988,NR,988,988,988,NR,988,988,988,18,14,3,2,18,14,3,2,10,8,10,8,Yes,No,No,No,No,No,No,No,NA,988,1,Yes,Yes,Yes,No,No,No,NA,No,No,NA,No,NA,No,NA,No,No,No,No,NR,Yes,20,966,966,No,999,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20,966,966,No,999,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,No,Yes,No,No,10,No,Yes,No,No,No,No,No,No,10,NR,NR,NR,NR,988,988,988,988,988,988,NR,NR,NA,NA,NA,NA,999,999,999,999,No,Yes,Yes,13,160000.00,FJD,100373.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Finland,5345826,High,4,2,4,3,4,4,5,3,Health Behaviour and Health among the Finnish Adult Population,2009,National,15 - 64,Daily tobacco smoking,21.9,16,18.6,Current tobacco smoking,29.8,21.4,25.1,Current snuff user,5.5,0.4,988,28,20,22,14,28,20,22,14,25,17,25,17,No,Yes,No,No,No,No,No,No,NA,10,1,Yes,Yes,Yes,Yes,Yes,No,NA,Yes,Yes,General store,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes in most,Yes in most,Yes in some,Yes in some,No,Yes,39,32,45,Yes,16,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,16,32,0,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,10,No,Yes,Yes,Yes,No,Yes,No,Yes,8,4.40,EUR,4.59,5.73,8%,52%,0%,79%,60%,19%,4.59,3.96,NA,NA,NA,NA,999,999,999,999,Yes,Yes,Yes,988,650000.00,EUR,952136.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,France,62636580,High,4,1,5,4,3,4,5,3,Baromètre santé: premiers résultats,2005,National,12 - 75,Daily tobacco smoking,28.2,21.7,25,Current tobacco smoking,33.3,26.5,29.9,NR,988,988,988,36,30,27,24,36,30,27,24,31,27,31,27,Yes,Yes,Yes, * , * , * , * ,Yes, * ,988,4,Yes,Yes,Yes,No,No,No,NA,Yes,Yes,Pharmacy,Yes,Pharmacy with Rx,Yes,Pharmacy with Rx,Yes in some,Yes in most,Yes in some,NR,NR,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,30,30,30,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,988,No,Yes,Yes,Yes,Yes,Yes,No,Yes,988,5.60,EUR,6.15,7.30,6%,58%,0%,80%,64%,16%,6.15,5.6,NA,NA,NA,NA,999,999,999,999,Yes,Yes,Yes,988,29988306.00,EUR,43927646.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Gabon,1501266,Middle,1,2,3,2,1,2,2,3,Gabon STEPS Survey,2009,Subnational,15 - 64,Daily tobacco smoking,16.4,2.2,988,Current tobacco smoking,21,4.6,988,NR,988,988,988,19,16,3,2,15,12,2,1,11,9,9,7,No,No,No,No,No,No,No,No,NA,999,0,No,NA,NA,No,No,No,NA,No,Yes,Pharmacy,Yes,Pharmacy,Yes,Pharmacy,No,No,No,No,No,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,Yes,No,No,No,999,999,999,No,999,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NR,NR,NR,NR,NR,NR,NR,NR,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,1000.00,XAF,3.49,1.99,0%,7%,0%,22%,7%,15%,3.49,2.44,NA,NA,NA,NA,999,999,999,999,No,No,Yes,2,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Gambia,1750732,Low,2,2,2,3,2,4,4,3,Gambia STEPS Survey,2010,National,25 - 64,Daily tobacco smoking,29.4,0.7,14.5,Current tobacco smoking,31.3,1,15.6,Current users of smokeless tobacco,0.8,1.4,1.1,31,28,3,2,25,21,977,977,17,15,13,11,No,No,No,No,No,No,No,No,NA,999,0,Yes,No,Yes,No,No,Yes,No,No,No,NA,No,NA,No,NA,No,No,No,No,No,Yes,30,30,30,Yes,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,30,30,30,Yes,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,No,Yes,Yes,No,9,No,Yes,Yes,Yes,No,Yes,No,Yes,6,10.00,GMD,1.19,0.35,30%,0%,20%,66%,30%,36%,1.19,1.19,NA,NA,NA,NA,999,999,999,999,No,No,Yes,1,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
